#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
おはよう。		Ohayoo.	God morgon (informell / till vänner)	Good morning.	Hälsningar	Genki I s. 32	Informell morgonhälsning. Används mot jämlikar eller vänner.	Genki-I Kapitel-0 Hälsningar
おはよう ございます。		Ohayoo gozaimasu.	God morgon (formell / artig)	Good morning. (polite)	Hälsningar	Genki I s. 32	Artig hälsning till lärare, chefer och personer man inte känner väl.	Genki-I Kapitel-0 Hälsningar
こんにちは。		Konnichiwa.	God dag / Hej	Good afternoon.	Hälsningar	Genki I s. 32	OBS! Sista stavelsen stavas med は (ha), men uttalas 'wa'. Allmän dags-hälsning.	Genki-I Kapitel-0 Hälsningar
こんばんは。		Konbanwa.	God kväll	Good evening.	Hälsningar	Genki I s. 32	OBS! Sista stavelsen stavas med は (ha), men uttalas 'wa'. Används när det mörknat.	Genki-I Kapitel-0 Hälsningar
さようなら。		Sayoonara.	Adjö / Farväl	Good-bye.	Hälsningar	Genki I s. 32	Längre avsked (när man inte ska ses på länge).	Genki-I Kapitel-0 Hälsningar
おやすみ（なさい）。		Oyasumi (nasai).	God natt	Good night.	Hälsningar	Genki I s. 32	なさい läggs till för artig form. Beroende på relation kan 'nasai' utelämnas bland vänner.	Genki-I Kapitel-0 Hälsningar
ありがとう。		Arigatoo.	Tack (informellt)	Thank you.	Hälsningar	Genki I s. 32	Informellt tack mellan vänner och familjemedlemmar.	Genki-I Kapitel-0 Hälsningar
ありがとう ございます。		Arigatoo gozaimasu.	Tack så mycket (formellt / artigt)	Thank you. (polite)	Hälsningar	Genki I s. 32	Formell och artig tacksägelse till lärare, främlingar och äldre.	Genki-I Kapitel-0 Hälsningar
すみません。		Sumimasen.	Ursäkta mig / Förlåt	Excuse me.; I'm sorry.	Hälsningar	Genki I s. 32	Mycket användbart: påkalla uppmärksamhet ('Ursäkta'), be om ursäkt ('Förlåt') eller visa tacksamhet.	Genki-I Kapitel-0 Hälsningar
いいえ。		Iie.	Nej / Ingen orsak / Det var så lite	No.; Not at all.	Hälsningar	Genki I s. 32	Betyder både 'Nej' och används som svar när någon tackar ('Ingen orsak').	Genki-I Kapitel-0 Hälsningar
いってきます。		Itte kimasu.	Jag går nu / Vi ses sen	I'll go and come back.	Hälsningar	Genki I s. 32	Sägs av den person som lämnar hemmet eller kontoret.	Genki-I Kapitel-0 Hälsningar
いってらっしゃい。		Itterasshai.	Hejdå / Ha det så bra (till den som går)	Please go and come back.	Hälsningar	Genki I s. 32	Sägs till den person som just gett sig av hemifrån.	Genki-I Kapitel-0 Hälsningar
ただいま。		Tadaima.	Jag är hemma!	I'm home.	Hälsningar	Genki I s. 32	Sägs när man kommer hem och kliver in genom dörren.	Genki-I Kapitel-0 Hälsningar
おかえり（なさい）。		Okaeri (nasai).	Välkommen hem!	Welcome home.	Hälsningar	Genki I s. 32	Svar till den som ropar 'tadaima'. なさい gör det mer artigt.	Genki-I Kapitel-0 Hälsningar
いただきます。		Itadakimasu.	Tack för maten (före måltiden)	Thank you for the meal. (before eating)	Hälsningar	Genki I s. 32	Sägs med händerna ihop innan man börjar äta ('Jag tar ödmjukt emot').	Genki-I Kapitel-0 Hälsningar
ごちそうさま（でした）。		Gochisoosama (deshita).	Tack för maten (efter måltiden)	Thank you for the meal. (after eating)	Hälsningar	Genki I s. 32	Sägs när man ätit klart. でした läggs till för artig form till kock eller värd.	Genki-I Kapitel-0 Hälsningar
はじめまして。		Hajimemashite.	Trevligt att träffas (vid första mötet)	How do you do?	Hälsningar	Genki I s. 32	Inleder en självpresentation. Sägs uteslutande allra första gången man träffas.	Genki-I Kapitel-0 Hälsningar
〜です。		... desu.	... är / Jag är ... (kopula)	I am ....	Hälsningar	Genki I s. 32	Artig kopula (motsvarar 'är'). T.ex. たなかです (Tanaka desu = Jag är Tanaka).	Genki-I Kapitel-0 Hälsningar
よろしく おねがいします。		Yoroshiku onegai shimasu.	Trevligt att lära känna dig / Ta väl hand om mig	Nice to meet you.	Hälsningar	Genki I s. 32	Avslutar en självpresentation ('Ser fram emot gott samarbete').	Genki-I Kapitel-0 Hälsningar
だいがく		daigaku	universitet / högskola	college; university	Skola	Genki I s. 38	Kanji: 大学. Förekommer i dialogen.	Genki-I Kapitel-1 Skola
こうこう		kookoo	gymnasium / gymnasieskola	high school	Skola	Genki I s. 38	Kanji: 高校. Långa vokaler: kōkō.	Genki-I Kapitel-1 Skola
がくせい		gakusee	student / elev	student	Skola	Genki I s. 38	Kanji: 学生. Förekommer i dialogen.	Genki-I Kapitel-1 Skola
