#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
人	ひと	hito	person, människa, någon	person, human, someone	Toppfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「私を誘う人は皮肉なものね」 (Männen som bjuder ut mig är verkligen en ödets ironi).	PlasticLove Rank-1
私	わたし	watashi	jag, mig	I, me	Toppfrekvens · Pronomen (N5)	Plastic Love (竹内まりや)	「私のことを決して本気で愛さないで」 (Älska mig under inga omständigheter på allvar).	PlasticLove Rank-2
来る	くる	kuru	att komma, inträffa	to come, arrive	Toppfrekvens · Verb (N5)	Plastic Love (竹内まりや)	「時間がくれば終わる」 (När tiden är inne tar det slut).	PlasticLove Rank-3
それ	それ	sore	det där, så	that	Toppfrekvens · Pronomen (N5)	Plastic Love (竹内まりや)	「楽しめばそれでいいの」 (Bara man har roligt så räcker det gott så).	PlasticLove Rank-4
良い	いい	ii	bra, okej, räcka	good, fine, okay	Toppfrekvens · Adjektiv (N5)	Plastic Love (竹内まりや)	「それでいいの」 (Det duger, det är helt okej). Ett av japanskans viktigaste i-adjektiv.	PlasticLove Rank-5
時間	じかん	jikan	tid, timme	time, hour	Toppfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「時間がくれば終わる」 (När tiden väl kommer tar allting slut).	PlasticLove Rank-6
夜	よる	yoru	natt, kväll	night, evening	Toppfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「昼と夜が逆の暮らし」 (Ett liv där dag och natt har bytt plats).	PlasticLove Rank-7
いつも	いつも	itsumo	alltid, ständigt	always, constantly	Högfrekvens · Adverb (N5)	Plastic Love (竹内まりや)	「私を誘う人は皮肉なものね いつも 彼に似てるわ」 (Männen som bjuder ut mig liknar alltid honom).	PlasticLove Rank-8
彼	かれ	kare	han, honom, pojkvän	he, him, boyfriend	Högfrekvens · Pronomen (N5)	Plastic Love (竹内まりや)	「彼に似てるわ」 (De påminner om honom – mitt ex).	PlasticLove Rank-9
声	こえ	koe	röst	voice	Högfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「ささやく声がしても」 (Även om det hörs viskande röster...).	PlasticLove Rank-10
昼	ひる	hiru	dag, dagtid, mitt på dagen	daytime, noon	Högfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「昼と夜が逆の暮らしを続けて」 (Vände på dygnet och levde nattliv).	PlasticLove Rank-11
女	おんな	onna	kvinna	woman, female	Högfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「氷のように冷たい女だと」 (Att jag skulle vara en kvinna kall som is).	PlasticLove Rank-12
だけ	だけ	dake	bara, endast	only, just	Högfrekvens · Begränsningspartikel (N5)	Plastic Love (竹内まりや)	「ハロゲンライトだけ妖しく輝く」 (Bara halogenstrålkastarna lyser förföriskt).	PlasticLove Rank-13
友だち	ともだち	tomodachi	vän, kompis	friend, companion	Högfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「派手なドレスも靴も 孤独な友だち」 (Den vräkiga klänningen och skorna är mina enda, ensamma vänner).	PlasticLove Rank-14
心	こころ	kokoro	hjärta, inre sinne	heart, inner self	Högfrekvens · Substantiv (N4)	Plastic Love (竹内まりや)	「閉ざした心を飾る」 (Pryder mitt tillslutna, låsta hjärta).	PlasticLove Rank-15
上手	じょうず	jouzu	skicklig, duktig, smart	skillful, clever	Högfrekvens · Na-adjektiv (N5)	Plastic Love (竹内まりや)	「上手に打ち込んで」 (Matar skickligt in möten och avsked).	PlasticLove Rank-16
靴	くつ	kutsu	skor, klackskor	shoes	Högfrekvens · Substantiv (N5)	Plastic Love (竹内まりや)	「派手なドレスも靴も」 Skrivs med kanji 靴.	PlasticLove Rank-17
熱い	あつい	atsui	het, brinnande, intensiv	hot, passionate	Högfrekvens · I-adjektiv (N5)	Plastic Love (竹内まりや)	「熱いまなざしで」 (Med en glödande, intensiv blick).	PlasticLove Rank-18
終わる	おわる	owaru	att ta slut, avslutas	to end, finish	Högfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「時間がくれば終わる」 (När tiden är ute är det över).	PlasticLove Rank-19
覚える	おぼえる	oboeru	att lära sig, bemästra, minnas	to learn, master, remember	Högfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「おぼえた魔術なのよ」 (Det är ett magiskt knep som jag har lärt mig).	PlasticLove Rank-20
続ける	つづける	tsuzukeru	att fortsätta, vidmakthålla	to continue, keep up	Högfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「暮らしを続けて」 (Fortsatte att leva på det viset).	PlasticLove Rank-21
踊る	おどる	odoru	att dansa	to dance	Högfrekvens · Verb (N4)	Plastic Love (竹内まりや)	I sammansättningen 踊り明かす (att dansa hela natten fram till gryningen).	PlasticLove Rank-22
冷たい	つめたい	tsumetai	kall, kylig, känslokall	cold (to touch / in temperament)	Högfrekvens · I-adjektiv (N4)	Plastic Love (竹内まりや)	「氷のように冷たい女」 Används om föremål och personers temperament (jämför med 寒い som är väder).	PlasticLove Rank-23
楽しむ	たのしむ	tanoshimu	att ha kul, njuta av	to enjoy, have fun with	Medelfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「恋なんてただのゲーム 楽しめばそれでいいの」 (Kärlek är bara ett spel; om man har roligt räcker det så).	PlasticLove Rank-24
ゲーム	げーむ	geemu	spel	game	Katakana · Substantiv (N5)	Plastic Love (竹内まりや)	「恋なんてただのゲーム」 (Kärlek är bara en lek/ett spel).	PlasticLove Rank-25
ずっと	ずっと	zutto	ända sedan, oavbrutet	all along, continuously ever since	Medelfrekvens · Adverb (N4)	Plastic Love (竹内まりや)	「あの日からずっと」 (Ända sedan den där dagen).	PlasticLove Rank-26
落とす	おとす	otosu	att tappa, fälla, spilla	to drop, let fall	Medelfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「グラスを落として」 (Tappade glaset i golvet).	PlasticLove Rank-27
あの日	あのひ	ano hi	den där dagen, förr i tiden	that day	Medelfrekvens · Tidsuttryck (N4)	Plastic Love (竹内まりや)	「愛に傷ついたあの日から」 (Ända sedan den där dagen då jag blev sårad av kärlek).	PlasticLove Rank-28
似る	にる	niru	att likna, påminna om	to resemble, look like	Medelfrekvens · Verb (N4)	Plastic Love (竹内まりや)	「彼に似てるわ」 (De liknar honom). Bildar formen 似ている (påminner om).	PlasticLove Rank-29
急に	きゅうに	kyuu ni	plötsligt, oväntat	suddenly, abruptly	Medelfrekvens · Adverb (N4)	Plastic Love (竹内まりや)	「急に涙ぐんでも」 (Även om mina ögon plötsligt tåras).	PlasticLove Rank-30
氷	こおり	koori	is	ice	Medelfrekvens · Substantiv (N4)	Plastic Love (竹内まりや)	「氷のように冷たい女だと」 (En kvinna som är som is).	PlasticLove Rank-31
恋	こい	koi	förälskelse, romans	romantic love, passion	Medelfrekvens · Substantiv (N3)	Plastic Love (竹内まりや)	「恋のプログラム / 恋なんてただのゲーム」	PlasticLove Rank-32
愛	あい	ai	kärlek, sann hängivenhet	deep love, devotion	Medelfrekvens · Substantiv (N3)	Plastic Love (竹内まりや)	「愛に傷ついたあの日からずっと」 (Ända sedan dagen då jag sårades av kärleken).	PlasticLove Rank-33
突然	とつぜん	totsuzen	plötslig, oväntad	sudden, unexpected, abrupt	Medelfrekvens · Adverb (N3)	Plastic Love (竹内まりや)	「突然のキスや熱いまなざしで」 (Med en plötslig kyss och heta blickar).	PlasticLove Rank-34
傷つく	きずつく	kizutsuku	att bli sårad, ta skada	to get hurt, be wounded	Medelfrekvens · Verb (N3)	Plastic Love (竹内まりや)	「愛に傷ついた」 Sammansatt av 傷 (sår) + 付く (fästa).	PlasticLove Rank-35
愛する	あいする	aisuru	att älska	to love	Medelfrekvens · Verb (N3)	Plastic Love (竹内まりや)	「決して本気で愛さないで」 (Förälska dig inte i mig på allvar!).	PlasticLove Rank-36
わけ	わけ	wake	orsak, skäl, anledning	reason, explanation	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「わけは尋ねないでね」 (Fråga inte efter anledningen). Skrivs i kanji 訳.	PlasticLove Rank-37
思い出	おもいで	omoide	minnen, hågkomst	memories, recollections	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「なぜか思い出と重なり合う」 (Av någon anledning överlappar det med mina minnen).	PlasticLove Rank-38
暮らし	くらし	kurashi	vardagsliv, leverne	lifestyle, daily living	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「逆の暮らしを続けて」 (Fortsatte att leva ett omvänt nattliv).	PlasticLove Rank-39
尋ねる	たずねる	tazuneru	att fråga, förhöra sig om	to ask, inquire	Vardagligt · Verb (N3)	Plastic Love (竹内まりや)	「わけは尋ねないでね」 (Fråga inte varför).	PlasticLove Rank-40
決して	けっして	kesshite	aldrig någonsin, under inga villkor	never, by no means	Vardagligt · Adverb (N3)	Plastic Love (竹内まりや)	「私のことを決して本気で愛さないで」 Följs alltid av en nekande verbform.	PlasticLove Rank-41
出逢い	であい	deai	möte, bekantskap	encounter, meeting	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「出逢いと別れ」 Poesikanji 逢 används ofta istället för 合 vid romantiska möten.	PlasticLove Rank-42
別れ	わかれ	wakare	avsked, uppbrott, skilsmässa	parting, farewell, breakup	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「出逢いと別れ上手に打ち込んで」 Substantivform av verbet 別れる.	PlasticLove Rank-43
逆	ぎゃく	gyaku	motsats, omvänd ordning	reverse, opposite	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「昼と夜が逆の暮らし」 (Ett omvänt liv där natt blev dag).	PlasticLove Rank-44
本気	ほんき	honki	på allvar, uppriktighet	seriousness, earnestness	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「決して本気で愛さないで」 (Ta inte känslorna på allvar).	PlasticLove Rank-45
誘う	さそう	sasou	att bjuda ut, locka med sig	to invite, ask out, tempt	Vardagligt · Verb (N3)	Plastic Love (竹内まりや)	「私を誘う人は皮肉なものね」 (Männen som försöker bjuda ut mig).	PlasticLove Rank-46
輝く	かがやく	kagayaku	att stråla, glänsa, skimra	to shine, sparkle	Vardagligt · Verb (N3)	Plastic Love (竹内まりや)	「妖しく輝く」 (Strålar med ett mystiskt och förföriskt sken).	PlasticLove Rank-47
飾る	かざる	kazaru	att pryda, dekorera, maskera	to decorate, adorn	Vardagligt · Verb (N3)	Plastic Love (竹内まりや)	「閉ざした心を飾る 派手なドレス」 (Kläderna som pryder mitt stängda hjärta).	PlasticLove Rank-48
眠り	ねむり	nemuri	sömn, slummer	sleep, slumber	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「眠りにつくころ」 (Vid den tiden då man till slut somnar in).	PlasticLove Rank-49
高速	こうそく	kousoku	motorväg, hög fart	expressway, high-speed	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「夜更けの高速で」 Syftar på Shuto Expressway i nattens Tokyo.	PlasticLove Rank-50
グラス	ぐらす	gurasu	dricksglas, cocktailglas	glass, drinking glass	Katakana · Substantiv (N4)	Plastic Love (竹内まりや)	「グラスを落として急に涙ぐんでも」 (Även om jag råkar tappa glaset och börjar gråta).	PlasticLove Rank-51
なぜか	なぜか	nazeka	av någon underlig anledning	for some reason, somehow	Vardagligt · Adverb (N3)	Plastic Love (竹内まりや)	「なぜか思い出と重なり合う」 (Av okänd anledning smälter minnena samman).	PlasticLove Rank-52
はやり	はやり	hayari	trend, det som är modernt	trend, craze, fashion	Vardagligt · Substantiv (N3)	Plastic Love (竹内まりや)	「はやりのDiscoで踊り明かす」 Substantiv av verbet hayaru (att vara populärt).	PlasticLove Rank-53
プログラム	ぷろぐらむ	puroguramu	program, kod	program, routine	Katakana · Substantiv (N3)	Plastic Love (竹内まりや)	「恋のプログラムを狂わせないでね」 Futuristisk 80-talsliknelse: kärleken som ett inmatat datorprogram.	PlasticLove Rank-54
