#separator:tab
#html:false
#tags column:9
#columns:Japanese	HiraganaReading	Romaji	Swedish	English	Category	Lesson	Notes	Tags
私	わたし	watashi	jag, mig	I, me	Toppfrekvens · Pronomen (N5)	Stay With Me (松原みき)	「私は私 貴方は貴方と」 (Jag är jag, och du är du). Ett av japanskans mest grundläggande pronomen.	StayWithMe Rank-1
する	する	suru	att göra, kännas	to do, to feel like	Toppfrekvens · Verb (N5)	Stay With Me (松原みき)	「そんな気もするわ」 (Det känns lite så...). Oregelbundet hjälpverb som bildar massor av vardagsuttryck.	StayWithMe Rank-2
言う	いう	iu	att säga	to say	Toppfrekvens · Verb (N5)	Stay With Me (松原みき)	「昨夜言ってた そんな気もするわ / 口ぐせを言いながら」 Förekommer i låten som dåtid (言ってた), passiv (言われた) och pågående (言いながら).	StayWithMe Rank-3
ある	ある	aru	att finnas, ha	to exist, to have	Toppfrekvens · Verb (N5)	Stay With Me (松原みき)	「見覚えがある コーヒーのしみ」 (Kaffefläcken som jag känner igen). Används för icke-levande ting.	StayWithMe Rank-4
来る	くる	kuru	att komma	to come, arrive	Toppfrekvens · Verb (N5)	Stay With Me (松原みき)	「二度目の冬が来て」 (När den andra vintern kom). Oregelbundet basverb (kuru -> kite).	StayWithMe Rank-5
今	いま	ima	nu, för stunden	now, right now	Toppfrekvens · Tidsadverb (N5)	Stay With Me (松原みき)	「あの季節が 今 目の前」 (Den där årstiden är nu här rakt framför mina ögon).	StayWithMe Rank-6
前	まえ	mae	framför, före	in front of, before	Toppfrekvens · Substantiv (N5)	Stay With Me (松原みき)	「あの季節が 今 目の前」 (Rakt framför ögonen på mig).	StayWithMe Rank-7
目	め	me	öga, blick	eye, sight	Toppfrekvens · Substantiv (N5)	Stay With Me (松原みき)	I uttrycket 目の前 (framför mina ögon). Tecknet föreställer ett öga med pupill.	StayWithMe Rank-8
気	き	ki	känsla, sinne, aura	feeling, spirit, mood	Toppfrekvens · Substantiv (N5)	Stay With Me (松原みき)	「そんな気もするわ」 (Jag har en sådan känsla / Det känns så).	StayWithMe Rank-9
もの	もの	mono	sak, ting (koncept/materiellt)	thing, entity	Toppfrekvens · Substantiv (N5)	Stay With Me (松原みき)	「恋と愛とは 違うものだよと」 (Att förälskelse och kärlek är två helt olika saker).	StayWithMe Rank-10
あの	あの	ano	den där (långt borta/i minnet)	that (over there / remembered)	Toppfrekvens · Pekord (N5)	Stay With Me (松原みき)	「あの季節が 今 目の前」 Pekordet あの syftar på något både talare och lyssnare minns väl.	StayWithMe Rank-11
帰る	かえる	kaeru	att gå hem, återvända	to go home, return	Högfrekvens · Verb (N5)	Stay With Me (松原みき)	「帰らないでと泣いた」 (Jag grät och bönföll:	StayWithMe Rank-12
